prompt,completion
I do not have a working US Phone Number at the moment and Paycom requires one for Two-Factor authentication/Emergency Contact. What should I do?,"There are two alternatives:

If you are asking about the initial onboarding process, you must have an active US phone number in order to start the onboarding process. We can delete that number once you get fully onboarded if you face issues with the Two-Factor authentication.

If, after you have been already fully onboarded in Paycom, you still need to enter a US phone number, please use the phone number of Minerva University’s Office Headquarters: 415-649-7658. Make sure you set it as a Work Number. Students should not need to verify this number. If you are still experiencing difficulty, please send an email to studentypayroll@minerva.edu with screenshots when possible."
What should I add to the Expiration Date of Employment Authorization?,"For International Students, The Expiration Date of Employment Authorization is the expiration date of your VALID F-1 Visa. U.S. Citizens and Permanent Residents should add their Expected Graduation Date if required."
Where can I find the Paycom training video?,Watch this video training. Password: 1S*.4474
Where can I find the Paycom Resource Manual?,Please refer to this resource.
"I started my work-study position early or mid August, when will my first paycheck be deposited?","The first pay date for Work Study is October 2nd, 2020. For further information, please check the Calendar."
"I started my work-study position early or mid August, when will my first paycheck be deposited?","The first pay date for Work Study is October 2nd, 2020. For further information, please check the Calendar https://docs.google.com/spreadsheets/d/1qKoOsemna39FxwZMLZq-jjgFOikCe3TAboJKOpfz_fw/edit#gid=0."
Where can I find the WS pay periods calendar?,https://docs.google.com/spreadsheets/d/1_4db-j6gX0zkyJvpkqDIBW3o4cwo_CSA_YnOvDzLr28/edit?usp=sharing
Where can I find the Onboarding checklist?,Please send an email to mailto:studentypayroll@minerva.kgi.edu for support.
"I followed the steps on the Paycom training manual but cannot find a timesheet, where can I find this?",Please send an email to mailto:studentypayroll@minerva.kgi.edu for support.
"I see a larger than expected deduction in my payments, what does this mean?","Paycom has an automated tax withholding calculator we are unable to modify. The calculator takes the gross income for a given pay period and assumes this will be the recurrent bi-weekly income. Based on this assumption, it estimates the yearly income and assigns your pay period income to a specific tax bracket based on the estimated gross annual income. Therefore, the more hours you report in a specific pay period, the higher the percentage of your gross income that will be withheld as taxes. Withheld amounts can be refunded after submitting your taxes in the following year. We thus strongly recommend you to never forget to report your hours for a long period of time. Your tax deductions might surprise you! Nevertheless, you can be confident that your tax return will return all the exceeding deductions."
I can’t find my department on Paycom. How do I know which one of the options in the drop-down menu is my department?,"When submitting your hours, there's no need to select the department. It will automatically link it to your department according to your job role. The option of selecting the department is only for students who are assigned projects while working with another department."
I forgot to add my hours for a specific pay period OR I could not add hours from previous Pay Periods for some reasons and now it does not allow me to add hours to previous Pay Periods. Can I add them to the current/next pay period?,"Yes, even though your total hours reported for that pay period will be over 15 hours, you can add them as catch up payments. To do that, just add them to the following pay period and comment on where these hours come from. This will help your manager know the origin of these extra hours. Keep in mind the average hours worked per week should be 7.5"
My timecard in Paycom is highlighted in yellow and I can’t add more hours. Can I still update my hours?,"When your timecard is highlighted in yellow, it means it was approved by the employee. To revoke the approval, follow the steps described [here](https://lh5.googleusercontent.com/SxT1gw"
How do I reset my password/login information?,"If you forgot your login info to Paycom, including username or password, you can send an email to mailto:studentpayroll@minerva.edu asking about your username or resetting your password."
My timecard on Paycom is highlighted as green/blue. Can I still update my hours?,"Timecards highlighted in blue were already approved by your manager. Please contact him/her/them directly and ask them to follow the steps in the answer to question 21 on this FAQ document to revoke their approval. Make sure you also revoke employee approval if needed (Please see question 21). Finally, ensure everyone has resubmitted their approvals before the deadline."
I am unsure about what my department and/or project is when entering hours in Paycom. What should I select?,"Please leave these sections blank, and it will be assigned to your default department/project. However, the only case when you need to enter your department/project is if you worked as a “course tester” or you have an external position."
I am preparing my taxes for 2021 and I was wondering what type of employer Minerva Project and Minerva Institute are?,"Minerva Project is a company, while Minerva Institute is a non-profit organization."
Where can I go if I have further questions?,Email Student Payroll at mailto:studentpayroll@minerva.edu.
Where can I see if the payment has been made for the hours I entered in Paycom. How can I access my pay stubs?,Log in to your Paycom account. Go to Payroll. Click View Stubs. There you can see the breakdown of your payment for each pay period.
